topology,algorithm,scenario_name,avg_throughput,avg_loss,retransmits,baseline_throughput,impact_%
jellyfish,astar,bandwidth_throttle,95.28466318361907,0.0,0.0,95.24506251166133,0.04
jellyfish,astar,link_down_before_traffic,95.34125633478595,0.0,0.0,95.24506251166133,0.1
jellyfish,astar,link_down_during_traffic,94.88339759154044,0.0,135.0,95.24506251166133,-0.38
jellyfish,astar,link_flap,94.57694007831881,0.0,45.0,95.24506251166133,-0.7
jellyfish,astar,random_link_down_jellyfish,95.07529790580406,0.0,0.0,95.24506251166133,-0.18
jellyfish,astar,switch_down,95.2551758627834,60.0,0.0,95.24506251166133,0.01
jellyfish,bellman_ford,bandwidth_throttle,95.27645105816683,0.0,0.0,95.10257701931309,0.18
jellyfish,bellman_ford,link_down_before_traffic,95.08328860172428,0.0,0.0,95.10257701931309,-0.02
jellyfish,bellman_ford,link_down_during_traffic,94.82339044350537,0.0,0.0,95.10257701931309,-0.29
jellyfish,bellman_ford,link_flap,95.33165968117,0.0,0.0,95.10257701931309,0.24
jellyfish,bellman_ford,random_link_down_jellyfish,95.2669417427145,0.0,0.0,95.10257701931309,0.17
jellyfish,bellman_ford,switch_down,95.12274126212036,60.0,0.0,95.10257701931309,0.02
jellyfish,widest_path,bandwidth_throttle,94.95085155583355,0.0,0.0,94.9936259723155,-0.05
jellyfish,widest_path,link_down_before_traffic,94.85538705173808,0.0,0.0,94.9936259723155,-0.15
jellyfish,widest_path,link_down_during_traffic,94.9675970187574,0.0,180.0,94.9936259723155,-0.03
jellyfish,widest_path,link_flap,94.9112026892254,0.0,45.0,94.9936259723155,-0.09
jellyfish,widest_path,random_link_down_jellyfish,95.54915892065858,0.0,0.0,94.9936259723155,0.58
jellyfish,widest_path,switch_down,95.2927597165844,60.0,0.0,94.9936259723155,0.31
ring5,astar,bandwidth_throttle,52.513685035497595,0.0,0.0,95.51188712714251,-45.02
ring5,astar,link_down_before_traffic,95.50436343117795,0.0,0.0,95.51188712714251,-0.01
ring5,astar,link_down_during_traffic,95.18274460898314,0.0,285.0,95.51188712714251,-0.34
ring5,astar,link_flap,94.43009436571583,0.0,939.0,95.51188712714251,-1.13
ring5,astar,switch_down,95.4946295051972,35.55555555555556,0.0,95.51188712714251,-0.02
ring5,bellman_ford,bandwidth_throttle,94.9978342081574,0.0,0.0,94.95223962053831,0.05
ring5,bellman_ford,link_down_before_traffic,95.50899998911765,0.0,0.0,94.95223962053831,0.59
ring5,bellman_ford,link_down_during_traffic,93.75283676609864,0.0,592.0,94.95223962053831,-1.26
ring5,bellman_ford,link_flap,93.27395430393058,0.0,922.0,94.95223962053831,-1.77
ring5,bellman_ford,switch_down,95.51390395547,35.55555555555556,0.0,94.95223962053831,0.59
ring5,widest_path,bandwidth_throttle,52.50521171800263,0.0,0.0,95.49906967928277,-45.02
ring5,widest_path,link_down_before_traffic,95.50479359416785,0.0,0.0,95.49906967928277,0.01
ring5,widest_path,link_down_during_traffic,95.14723076696578,0.0,318.0,95.49906967928277,-0.37
ring5,widest_path,link_flap,94.63617726236582,0.0,763.0,95.49906967928277,-0.9
ring5,widest_path,switch_down,95.50818825683224,35.55555555555556,0.0,95.49906967928277,0.01
