timestamp,topology,algorithm,scenario,run_id,host,pcap_file,src_mac,dst_mac,src_ip,dst_ip,proto,src_port,dst_port,length
2026-06-07T08:29:57.194195+00:00,jellyfish,astar,random_link_down_jellyfish,run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952,h4,jellyfish/astar/random_link_down_jellyfish/run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952/h4.pcap,00:00:00:00:00:01,00:00:00:00:02:01,10.0.0.1,10.0.0.3,IP,,,96
2026-06-07T08:29:57.220106+00:00,jellyfish,astar,random_link_down_jellyfish,run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952,h4,jellyfish/astar/random_link_down_jellyfish/run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952/h4.pcap,00:00:00:00:00:01,00:00:00:00:03:01,10.0.0.1,10.0.0.4,IP,,,96
2026-06-07T08:29:57.242845+00:00,jellyfish,astar,random_link_down_jellyfish,run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952,h4,jellyfish/astar/random_link_down_jellyfish/run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952/h4.pcap,00:00:00:00:00:01,00:00:00:00:04:01,10.0.0.1,10.0.0.5,IP,,,96
2026-06-07T08:29:57.242882+00:00,jellyfish,astar,random_link_down_jellyfish,run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952,h4,jellyfish/astar/random_link_down_jellyfish/run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952/h4.pcap,00:00:00:00:04:01,00:00:00:00:00:01,10.0.0.5,10.0.0.1,IP,,,96
2026-06-07T08:29:57.320851+00:00,jellyfish,astar,random_link_down_jellyfish,run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952,h4,jellyfish/astar/random_link_down_jellyfish/run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952/h4.pcap,00:00:00:00:00:01,00:00:00:00:07:01,10.0.0.1,10.0.0.8,IP,,,96
2026-06-07T08:29:57.369020+00:00,jellyfish,astar,random_link_down_jellyfish,run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952,h4,jellyfish/astar/random_link_down_jellyfish/run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952/h4.pcap,00:00:00:00:00:01,00:00:00:00:09:01,10.0.0.1,10.0.0.10,IP,,,96
2026-06-07T08:29:57.423278+00:00,jellyfish,astar,random_link_down_jellyfish,run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952,h4,jellyfish/astar/random_link_down_jellyfish/run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952/h4.pcap,00:00:00:00:01:01,00:00:00:00:04:01,10.0.0.2,10.0.0.5,IP,,,96
2026-06-07T08:29:57.423334+00:00,jellyfish,astar,random_link_down_jellyfish,run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952,h4,jellyfish/astar/random_link_down_jellyfish/run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952/h4.pcap,00:00:00:00:04:01,00:00:00:00:01:01,10.0.0.5,10.0.0.2,IP,,,96
2026-06-07T08:29:57.528803+00:00,jellyfish,astar,random_link_down_jellyfish,run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952,h4,jellyfish/astar/random_link_down_jellyfish/run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952/h4.pcap,00:00:00:00:02:01,00:00:00:00:04:01,10.0.0.3,10.0.0.5,IP,,,96
2026-06-07T08:29:57.528928+00:00,jellyfish,astar,random_link_down_jellyfish,run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952,h4,jellyfish/astar/random_link_down_jellyfish/run_scenario_jellyfish_astar_random_link_down_jellyfish_20260607_082952/h4.pcap,00:00:00:00:04:01,00:00:00:00:02:01,10.0.0.5,10.0.0.3,IP,,,96
