timestamp,topology,algorithm,scenario,run_id,host,pcap_file,src_mac,dst_mac,src_ip,dst_ip,proto,src_port,dst_port,length
2026-06-07T08:46:23.507320+00:00,jellyfish,widest_path,link_flap,run_scenario_jellyfish_widest_path_link_flap_20260607_084618,h8,jellyfish/widest_path/link_flap/run_scenario_jellyfish_widest_path_link_flap_20260607_084618/h8.pcap,00:00:00:00:00:01,00:00:00:00:03:01,10.0.0.1,10.0.0.4,IP,,,96
2026-06-07T08:46:23.531512+00:00,jellyfish,widest_path,link_flap,run_scenario_jellyfish_widest_path_link_flap_20260607_084618,h8,jellyfish/widest_path/link_flap/run_scenario_jellyfish_widest_path_link_flap_20260607_084618/h8.pcap,00:00:00:00:00:01,00:00:00:00:04:01,10.0.0.1,10.0.0.5,IP,,,96
2026-06-07T08:46:23.552917+00:00,jellyfish,widest_path,link_flap,run_scenario_jellyfish_widest_path_link_flap_20260607_084618,h8,jellyfish/widest_path/link_flap/run_scenario_jellyfish_widest_path_link_flap_20260607_084618/h8.pcap,00:00:00:00:00:01,00:00:00:00:05:01,10.0.0.1,10.0.0.6,IP,,,96
2026-06-07T08:46:23.570547+00:00,jellyfish,widest_path,link_flap,run_scenario_jellyfish_widest_path_link_flap_20260607_084618,h8,jellyfish/widest_path/link_flap/run_scenario_jellyfish_widest_path_link_flap_20260607_084618/h8.pcap,00:00:00:00:00:01,00:00:00:00:06:01,10.0.0.1,10.0.0.7,IP,,,96
2026-06-07T08:46:23.593817+00:00,jellyfish,widest_path,link_flap,run_scenario_jellyfish_widest_path_link_flap_20260607_084618,h8,jellyfish/widest_path/link_flap/run_scenario_jellyfish_widest_path_link_flap_20260607_084618/h8.pcap,00:00:00:00:00:01,00:00:00:00:07:01,10.0.0.1,10.0.0.8,IP,,,96
2026-06-07T08:46:23.615404+00:00,jellyfish,widest_path,link_flap,run_scenario_jellyfish_widest_path_link_flap_20260607_084618,h8,jellyfish/widest_path/link_flap/run_scenario_jellyfish_widest_path_link_flap_20260607_084618/h8.pcap,00:00:00:00:00:01,00:00:00:00:08:01,10.0.0.1,10.0.0.9,IP,,,96
2026-06-07T08:46:23.615449+00:00,jellyfish,widest_path,link_flap,run_scenario_jellyfish_widest_path_link_flap_20260607_084618,h8,jellyfish/widest_path/link_flap/run_scenario_jellyfish_widest_path_link_flap_20260607_084618/h8.pcap,00:00:00:00:08:01,00:00:00:00:00:01,10.0.0.9,10.0.0.1,IP,,,96
2026-06-07T08:46:23.633750+00:00,jellyfish,widest_path,link_flap,run_scenario_jellyfish_widest_path_link_flap_20260607_084618,h8,jellyfish/widest_path/link_flap/run_scenario_jellyfish_widest_path_link_flap_20260607_084618/h8.pcap,00:00:00:00:00:01,00:00:00:00:09:01,10.0.0.1,10.0.0.10,IP,,,96
2026-06-07T08:46:23.738528+00:00,jellyfish,widest_path,link_flap,run_scenario_jellyfish_widest_path_link_flap_20260607_084618,h8,jellyfish/widest_path/link_flap/run_scenario_jellyfish_widest_path_link_flap_20260607_084618/h8.pcap,00:00:00:00:01:01,00:00:00:00:08:01,10.0.0.2,10.0.0.9,IP,,,96
2026-06-07T08:46:23.738592+00:00,jellyfish,widest_path,link_flap,run_scenario_jellyfish_widest_path_link_flap_20260607_084618,h8,jellyfish/widest_path/link_flap/run_scenario_jellyfish_widest_path_link_flap_20260607_084618/h8.pcap,00:00:00:00:08:01,00:00:00:00:01:01,10.0.0.9,10.0.0.2,IP,,,96
